card_id,card_name,mana_cost,strength,health,duration ,starting_power,card_text,violet,red,keywords,card_type,
28,Among Us Bean,1,1,1,,,When Among Us Bean dies all players draw a card.,FALSE,FALSE,,creature,
29,Wendigo,4,5,5,,,,FALSE,TRUE,,creature,
30,Lego Rat,2,1,1,,,Deathtouch,FALSE,FALSE,Deathtouch,creature,
31,Robot Cow,2,2,2,,,Add a copy of Cheese (62) to your hand when played.,FALSE,TRUE,,creature,
32,Trollface,3,3,3,,,Haste.,FALSE,FALSE,Haste,creature,
33,Blimp,2,1,2,,,Flying.,FALSE,FALSE,Flying,creature,
34,Wall-nut,0,0,2,,,Defender,FALSE,FALSE,Defensive,creature,
35,T-Rex,3,2,2,,,Double Strike.,FALSE,TRUE,Double Strike,creature,
36,Noelle,5,4,2,,,"First Strike. Cryophilic.
If Noelle deals damage to a player, they do not draw a card at the start of their next turn.
When Noelle destroys a creature, freeze a creature of your choice.",FALSE,FALSE,"First Strike, Cryophilic",creature,
37,Iron Golem,3,3,4,,,Defender.,FALSE,TRUE,Defensive,creature,
38,Kanna,3,3,2,,,Hunt.,TRUE,FALSE,Hunt,creature,
39,Warhammer Army,X,X,X,,,You may spend as much mana as you want to play Warhammer Army. When you do it gains health and damage equal to the amount of mana spent.,TRUE,TRUE,,creature,
40,Tom Nook,3,1,2,,,"If Tom Nook is alive at the start of your opponent's turn, they lose one mana after refilling.",FALSE,FALSE,,creature,
41,Creeper,2,5,1,,,"Haste.
At the end of your turn, Creeper dies.",FALSE,FALSE,Haste,creature,
42,Sunflower,2,0,1,,,"Defensive
Once per turn: Gain one mana.",FALSE,TRUE,Defensive,creature,
43,Barqbarian,1,1,1,,,"As long as Barqbarian is attacking/blocking with at least one other creature, it gains one strength and one health.",FALSE,TRUE,,creature,
44,Shadow Wizards,3,2,2,,,Tap: Deal two damage to a target of your choice.,TRUE,FALSE,,creature,
45,Portal of Power,1,0,1,,,"Tap: Reveal the top card of your deck, if it's a creature you may play it for one less mana immediately.",FALSE,FALSE,,creature,
46,Plastic Muncher,4,3,5,,,Hexproof. Cryophilic,FALSE,FALSE,"Hexproof, Cryophilic",creature,
47,Freddy Fazbear,1,2,2,,,"Trample.
Freddy Fazbear takes two turns to untap.",FALSE,TRUE,Trample,creature,
48,Charger,4,4,3,,,Trample.,FALSE,TRUE,Trample,creature,
49,Dart Monkey,1,1,1,,,"Max Twice per Turn, One Mana: Dart Monkey gains 1 strength and 1 health for one combat.",FALSE,FALSE,,creature,
50,Legion,7,3,12,,,"Legion can block up to six creatures.
Immune to deathtouch.
For each creature blocking or being blocked by Legion, it gains two strength.",FALSE,FALSE,,creature,
51,Gender-bender,1,,,,,"Recyclable
Swap this creatures health and damage.",TRUE,FALSE,Recyclable,attachment ,
52,Schizophrenia,4,,,,,"Flip a coin. If heads, draw a card. If the card is a creature you must play that creature on your opponent's side. It gains “When tapped deal 5 damage to this cards owner.”. If this card is anything else, deal two damage for every instance of the letter “x” on the board. If the coin flip is tails, refer to your maximum mana counter. If it's even, then kill 1 random creature controlled by each player, if it's odd then choose an opponent, you gain one health for each creature that opponent controls.
Shuffle two copies of Schizophrenia into your deck.",FALSE,TRUE,,spell,
53,I'm not reading all that,3,,,,,Any text on that creature other than it's base stats is ignored.,FALSE,FALSE,,attachment ,
54,Bread,2,,,,,"Recyclable
This creature gains three health.",FALSE,FALSE,Recyclable,attachment ,
55,Handgun,2,,,,,"Recyclable
This creature has first-strike.",TRUE,TRUE,Recyclable,attachment ,
56,Goblin,3,1,1,,,"Goblin gains two health for each card attached to it.
When played draw a card.",FALSE,TRUE,Recyclable,creature,
57,Rat King,3,2,1,,,"When played, create two rat creature tokens (T1)",FALSE,TRUE,,creature,
58,Obese Rat,2,1,2,,,Sacrifice a creature: Obese Rat permanently gains 1 health and 1 strength.,FALSE,FALSE,,creature,
59,Michael Jackson,6,5,5,,,Michael Jackson is unaffected by cards that cost zero to two mana.,FALSE,TRUE,,creature,
60,Your Mother,5,6,6,,,,FALSE,FALSE,,creature,
61,Surprise,2,,,,,Bounce a creature.,FALSE,TRUE,,spell,
62,Cheese,2,,,,,Create a rat token (T1) with Haste and give all creatures you control one extra health for one combat.,FALSE,FALSE,,spell,
63,Distraction,3,,,,,Steal a random card from your opponent's hand.,TRUE,TRUE,,spell,
64,Krill Yourself,5,,,,,"Choose a player, multiply their hp by 0.5, rounding up if there is a decimal.",FALSE,FALSE,,spell,
65,Piracy,4,,,,,Play this to cancel the effects of any one spell your opponent plays. They still pay the mana cost. That spell is added to your hand instead of discarded.,FALSE,TRUE,,spell,
66,Moushley,3,1,2,,,"Tap: Summon a Rat (T1).
Tap, pay two mana: Draw a card.",FALSE,FALSE,,creature,
67,Todd Howard,4,3,3,,,"When Todd Howard would die flip a coin, if heads resurrect Todd Howard.",FALSE,TRUE,,creature,
68,The Thinker,1,1,1,,,Tap: look at the top two cards of your deck. You may shuffle the cards back into your deck or place them back at the top.,FALSE,FALSE,,creature,
69,Chihiro Fujisaki,4,1,2,,,"Upon dying, you may resurrect Chihiro Fujisaki as an Alter Ego (T2) creature token.",FALSE,FALSE,,creature,
70,Joe Biden,3,3,3,,,When Joe Biden attacks/defends roll a D6. His strength is set to the result of that roll for this combat.,FALSE,FALSE,,creature,
71,Carrot Juice,5,,,,,All creatures with the letter “C” on them are destroyed.,FALSE,FALSE,,spell,
72,The D6,1,,,,,"Shuffle your hand into your deck, then draw cards equal to the amount you had before, not including The D6.",FALSE,TRUE,,spell,
73,Fog of War,1,,,3,,"All creatures have stealth.
If another weather effect is already in play this card costs one more mana.",FALSE,FALSE,,weather,
74,The Tragedy ,6,,,,,Destroy two creatures of your choosing.,TRUE,FALSE,,spell,
75,Charging Ki,2,,,,,"Recyclable
This creatures strength is increased by two.",FALSE,FALSE,Recyclable,attachment ,
76,Bloonarius the Inflator,5,X,4,,,"Summon three bloon token creatures (T3).
Bloonarius' attack is equal to the number of Bloons you control.",FALSE,TRUE,,creature,
77,Baked Potato ,2,0,1,,,"When played or summoned, if you do not have a detonator card in your hand, create one (T4).
When destroyed, Baked Potato deals 4 damage to its owner.
One Mana: Transfer control of Baked Potato to another player.",FALSE,FALSE,,creature,
78,Killer Queen,5,4,4,,,At the start of your turn: Summon a Baked Potato under your control (77) or shuffle a Pipe Bomb into your opponent's deck (4).,TRUE,TRUE,,creature,
79,Gravelord Lych,4,3,4,,,At the start of your turn: Summon a Baked Potato under your control (77) or shuffle a Pipe Bomb into your opponent's deck (4).,TRUE,FALSE,,creature,
80,Vortex: Deadly Master of Air,4,4,3,,,"As long as Vortex is alive, all Bloon creature tokens you control gain 1 strength.
As long as you control 5 Bloon creature tokens Vortex gains flying.",FALSE,FALSE,,creature,
81,Rubber Winds,1,,,,,Summon two Bloon token creatures (T3).,TRUE,TRUE,,spell,
82,Holy Hand Grenade,4,,,,,"Choose an opponent, deal 2 damage to each of their creatures.",FALSE,FALSE,,spell,
83,Vore,3,,,,,"As an additional cost to play this card, sacrifice one of your creatures.
Add that creatures base stats to another creature of your choice.",FALSE,TRUE,,spell,
84,The Mechanism,2,,,,,This creature has two less health.,TRUE,TRUE,,attachment ,
85,Slurp Juice,2,,,,,Target creature is immortal until the end of your turn.,TRUE,FALSE,,spell,
86,Dreadbloon,5,4,1,,,"When played summon two Bloon creature tokens (T3).
As long as you control a Bloon creature, Dreadbloon cannot die while attacking.",TRUE,FALSE,,creature,
87,Hat Kid,2,2,4,,,"Haste. Reach.
Any damage dealt to Hat Kid is permanent.",TRUE,TRUE,"Haste, Reach",creature,
88,Matt,6,8,8,,,,FALSE,FALSE,,creature,
89,Sprout Mole,0,1,1,,,,FALSE,FALSE,,creature,
90,Aubrey,5,3,3,,,"First-Strike
When Aubrey damages a creature but doesn't destroy it, bounce that creature.",TRUE,TRUE,First Strike,creature,
91,Curse of the Abyss,2,,,,,Whenever this creature attacks it permanently loses two health.,FALSE,TRUE,,attachment ,
92,Wii Ball,1,,,,,"Recyclable
This creature gets minus one health and plus one strength.",FALSE,TRUE,Recyclable,attachment ,
93,Wii Bowling,1,,,,,"Recyclable
This creature gets minus one strength and plus one health.",FALSE,FALSE,Recyclable,attachment ,
94,Taunt,5,,,,,All players take double damage until the start of your next turn.,TRUE,TRUE,,spell,
95,Allegations,3,,,,,"As an additional cost to play this card, pay 3 mana cap.
Choose an opponent, skip their next turn.",FALSE,FALSE,,spell,
96,Flashpoint Michael,4,2,3,,,"First-strike.
All creatures you control gain haste.",FALSE,TRUE,First Strike,creature,
97,Dead Michael,3,0,1,,,Add two copies of Brain Rot to your hand (T5).,FALSE,TRUE,,creature,
98,Big Brain Michael,4,1,2,,,Big Brain Michael,FALSE,TRUE,,creature,
99,Rizz Michael,5,2,2,,,All creatures you control gain plus one strength and health.,TRUE,TRUE,,creature,
100,The One Piece,10,0,1,,,"This creature may be targeted and defended like a player. This creature may never benefit from Hexproof.
As long as you control The One Piece your mana fully replenishes after resolving the effects of any card you play.",TRUE,TRUE,,creature,
101,Raining Normal Pills,3,,,3,,"All other weather effects cost an additional 3 mana.
If another weather effect is already in play this card costs one more mana.",TRUE,TRUE,,weather,
102,Engineer,4,2,3,,,Tap: Summon a Sentry token creature (T7) or increase a pre-existing Sentries strength and health by one.,FALSE,TRUE,,creature,
103,Console Zord,9,6,6,,,"Trample
When played destroy all creatures with 5 health or less. For each creature destroyed this way Console Zord gains +1/+1",FALSE,TRUE,Trample,creature,
104,Calm Down,5,,,,,Search the top five cards of your deck. You may move as many of these five as you'd like to your discard pile. For every two cards discarded this way you may move one card from your discard pile into your hand. Afterwards shuffle.,FALSE,FALSE,,spell,
105,Dual Wielding,4,,,,,"Recyclable
This creature gains Double-Strike and Multiblock.",FALSE,TRUE,Recyclable,attachment ,
106,Blizzard,3,,,3,,"Whenever a creature attacks, apply Freeze to it.
If another weather effect is already in play this card costs one more mana.",FALSE,FALSE,,weather,
107,Froslass,4,4,2,,,"Cryophilic
If a weather effect is in play, Froslass is immune to damage from creatures.
If your opponent has at least one Frozen creature, Froslass gains one strength",TRUE,FALSE,Cryophilic,creature,
108,Melee Fox,4,3,3,,,First-Strike. Haste.,TRUE,FALSE,"First Strike, Haste",creature,
109,Soviet Winter,2,,,,,Apply Freeze to all currently tapped cards.,TRUE,FALSE,,spell,
110,CHARGE!!!,3,,,,,All creatures you control gain haste and first-strike until end of turn.,FALSE,TRUE,,spell,
111,Ourple Fog,2,,,3,,"Whenever a non-zombie creature dies its owner may resurrect that creature as a Zombie token creature (T6).
If another weather effect is already in play this card costs one more mana.",TRUE,FALSE,,weather,
112,Flag Zombie,1,1,1,,,Haste. Horde.,FALSE,TRUE,"Haste, Horde",creature,
113,Zergling,2,2,1,,,Horde. Trample.,TRUE,TRUE,"Horde, Trample",creature,
114,Determination Vial,2,,,,,As an additional cost to play this card sacrifice as many creatures as you'd like. Summon an Amalgamation token creature (T8). Increase its strength and health by two for each creature sacrificed this way.,FALSE,TRUE,,spell,
115,Peaceful Protest,3,,,,,All zero to one cost creatures gain two strength and one health until the end of your turn.,FALSE,TRUE,,spell,
116,Sapping Storm,2,,,3,,"When played name three keywords. Until this effect is removed those three keywords are ignored.
If another weather effect is already in play this card costs one more mana.",FALSE,TRUE,,weather,
117,V1,7,5,4,,,"When V1 destroys a creature it restores it's health. This prevents death.
During combat, give V1 one of the following of your choice:
1) Pierce
2) Blast 1. Blast 1. Blast 1.
3) Plus 4 strength.",TRUE,TRUE,,creature,
118,LAAT,3,2,3,,,Flying. Horde.,TRUE,TRUE,"Flying, Horde",creature,
119,Javelin Throw,2,,,,,All creatures you control with Reach lose it and gain First-Strike and one strength for one combat.,TRUE,TRUE,,spell,
120,Extra Inch,0,,,,,"Recyclable
This creature gains Reach.",FALSE,FALSE,Recyclable,attachment ,
121,Drone Swarm,2,,,3,,"At the start of your turn shuffle a pipe bomb into your deck (4).
If another weather effect is already in play this card costs one more mana.",FALSE,TRUE,,weather,
122,Bajookanese Soldier,4,3,2,,,When played shuffle a Pipe Bomb (4) into your opponent's deck.,FALSE,TRUE,,creature,
123,Oppenheimer,3,2,3,,,When another player draws a Pipe Bomb (4) it explodes for one more damage.,FALSE,FALSE,,creature,
124,C-Moon,1,0,0,,,Flip a deck of your choice upside-down. It functions the same but with the top card always revealed.,TRUE,TRUE,,spell,
125,Delivery,3,,,,,Search your deck. You may shuffle as many cards from your deck as you'd like into your opponent's deck. Afterwards shuffle your deck.,FALSE,FALSE,,spell,
126,Northern Lights,2,,,3,,"You may draw two cards per turn.
If another weather effect is already in play this card costs one more mana.",TRUE,FALSE,,weather,
127,Principal Skinner,2,1,2,,,"Tap: Discard a card, then draw a card.",TRUE,FALSE,,creature,
128,Ultra Greed,10-X,5,5,,,For every other card in your hand Ultra Greed costs one less mana.,FALSE,FALSE,,creature,
129,Crack Rocks,0,,,,,"As an additional cost to play this card pay one mana cap.
Gain three mana.",FALSE,FALSE,,spell,
130,Stocks,3,,,,,"When played place a D6 set to two on it. At the start of your turn flip a coin. If heads increase the dice by one, if tails decrease the dice by one. At any time, you may remove this card from your play area to gain mana equal to the dice.",FALSE,FALSE,,spell,
131,Pollution Cloud,2,,,3,,"All creatures have 1 less strength and health.
If another weather effect is already in play this card costs one more mana.",FALSE,FALSE,,weather,
132,Kenny,3,2,2,,,When Kenny is killed add a Rat Swarm (134) to your hand. ,FALSE,TRUE,,creature,
133,Shalltear Bloodfallen,6,6,6,,,Lifesteal 4.,TRUE,TRUE,Lifesteal 4,creature,
134,Rat Swarm,2,,,,,"Destroy a creature with three or less health.
Add a Rat (T1) to your hand.",FALSE,FALSE,,spell,
135,The Last Supper,X,,,,,"This cards cost is equal to the number of players.
Increase all players mana cap by one.
This card burns on play",FALSE,FALSE,,spell,
136,Blood Moon,3,,,3,,"All creatures must attack each turn if able. Increase lifesteal and poison amount by one.
If another weather effect is already in play this card costs one more mana.",FALSE,TRUE,,weather,
137,Anti-Air Gun,4,4,4,,,Reach.,FALSE,FALSE,Reach,creature,
138,Michael Morbius,4,4,3,,,"Lifesteal.
Tap: Transform into a Bat (T9).",FALSE,FALSE,Lifesteal,creature,
139,Rally the Troops,3,,,,,Untap all creatures you control.,FALSE,FALSE,,spell,
140,Domination,7,,,,,"Choose an opponent's creature, that creature and all copies of that creature are now under your control.",TRUE,TRUE,,spell,
141,Rainbow,1,,,3,,"Swap all creatures damage and health.
If another weather effect is already in play this card costs one more mana.",TRUE,TRUE,,weather,
142,Swapbot,3,1,5,,,While attacking Swapbots stats are switched.,FALSE,FALSE,,creature,
143,Tall-Nut,2,0,3,,,Reach. Defensive. Multiblock.,FALSE,FALSE,"Reach, Defensive, Multiblock",creature,
144,Wall-Nut Bowling,5,,,,,"Summon two Wall-Nuts (34).
Until end of turn all Wall-Nuts, Tall-Nuts, and Pea-Nuts lose defender and have Haste, Hunt, plus two strength, and cannot be blocked.",TRUE,TRUE,,spell,
145,Vampire Trap,2,,,,,"Activates when your opponent declares an attack.
Deal two damage to a creature they are attacking with, if the creature dies during combat heal four hp.",TRUE,TRUE,,trap,
146,Meteor Shower,5,,,3,,"At the start of each players turn, attach On Fire!!! (T12) to one random creature.
If another weather effect is already in play this card costs one more mana.",TRUE,TRUE,,weather,
147,Sans,8,1,1,,,"First-Strike. Poison. Sextuple-Strike.
When played, summon two Gaster Blasters (T44)",FALSE,FALSE,"First Strike, Poison, Sextuple-Strike",creature,
148,Shedinja,5,1,1,,,"Hexproof.
Shedinja is immune to damage during combat.",FALSE,TRUE,,creature,
149,Mega Mushroom,4,,,,,"Give a creature plus 4 strength, 4 health, and trample for one combat.",FALSE,FALSE,,spell,
150,Spiritual Advisor,4,,,,,"Recyclable
This creature gains poison 2.",FALSE,FALSE,,attachment ,
151,Rum,3,,,,,All creatures you control gain plus 2 strength until end of combat.,FALSE,TRUE,,spell,
152,Piss-missile ,3,,,,,"Destroy a creature with flying, then deal one damage to another target of your choice.",FALSE,FALSE,,spell,
153,Ditto,X,,,,,"Choose a creature you control, summon a copy of that creature under your control.
This spells cost is equal to the cost of that creature plus one.",TRUE,FALSE,,spell,
154,Vomit,4,,,,,Choose a player. They discard two cards of their choice.,FALSE,FALSE,,spell,
155,Mage of Violet,1,,,,,"Search your deck for a card with purple, violet, or lavender somewhere in the card art, reveal it and add it to your hand. Then shuffle your deck.",TRUE,FALSE,,spell,
156,Onomato Pairing,2,,,,,"If you have two of the same card in your hand, you may play them both for the price of one.",TRUE,FALSE,,spell,
157,Uno,0,,,,,"You may only play this card if every card in your hand is named Uno.
Draw four cards.",TRUE,TRUE,,spell,
158,Dissociation,6,,,,,"Roll a D4. Trigger an effect based on the result
1: Attach this card to a creature you control. It gains Hexproof, First-Strike, and Deathtouch.
2: Choose an opponent. Add two copies of Brain Rot (T5) to your hand for each creature they control.
3: Shuffle three copies of Dissociation into your deck. Then draw a card.
4: Lose four mana cap. Gain four health.",TRUE,TRUE,,spell,
159,Make your choice,1,,,,,Shuffle the top or bottom half of the discard pile into your deck.,FALSE,TRUE,,spell,
160,The Hat of Discipline,6,,,,,Choose a creature. All instances of this creature are removed from the game (Including instances in players hands/decks.),TRUE,FALSE,,spell,
161,Self Harm,0,,,,,Deal four damage to yourself. Gain two mana.,FALSE,TRUE,,spell,
162,Make-A-Wish,7,,,,,"Name any card in the game, add a copy of it to your hand.",TRUE,FALSE,,spell,
163,Dangling Keys,4,,,,,Change the target of a spell you didn't cast that costs 5 mana or less.,FALSE,FALSE,,spell,
164,Green Thumb,0,,,,,"As an additional cost to play this card, pay your entire mana cap.
For each one mana cap spent this way summon a Sunflower (42) with Haste.",FALSE,FALSE,,spell,
165,Lucky Streak,2,,,,,"You may rig the outcome of one dice roll, coin flip, or other random event.",TRUE,TRUE,,spell,
166,Rainbow Dash,6,5,5,,,Flying. Trample. Haste,TRUE,TRUE,"Flying, Trample, Haste",creature,
167,Steven,4,3,3,,,Reach. First-Strike.,FALSE,FALSE,"Reach, First Strike",creature,
168,Ebola-chan,4,1,4,,,Poison 3. Reach. Haste.,TRUE,TRUE,"Poison 3, Reach, Haste",creature,
169,Norton Antivirus,3,2,4,,,Multiblock. Poison.,FALSE,TRUE,"Multiblock, Poison",creature,
170,Dr. Zomboss,2,1,1,,,Horde. Lifesteal 2. Hexproof.,TRUE,TRUE,"Horde, Lifesteal 2, Hexproof",creature,
171,The Prince,4,4,4,,,"Horde.
When a creature is hoarded with the prince, it may not be un-hoarded. For each creature hoarded with the prince, he gains +1/+1",TRUE,TRUE,Horde,creature,
172,Gordon Ramsay,4,3,3,,,"As long as Gordon is alive, spells that affect multiple creatures do nothing to your creatures when played.
You cannot play spells that affect multiple creatures.",FALSE,TRUE,,creature,
173,Tac-Waifu,4,4,4,,,"Pay one mana: Move an attachment from one creature you control to another.
Tap: Return as many floating attachments you control as you'd like to your hand.",FALSE,FALSE,,creature,
174,Tainted Judas,5,3,2,,,"Trample. First-Strike. Hunt. Taunt.
If more than one creature blocks tainted Judas, he gains 3 strength for every creature after the first.",FALSE,TRUE,"Trample, First Strike, Hunt, Taunt",creature,
175,Henry Stickmin,5,3,3,,,Whenever you would draw a card you may instead discard your hand and draw four cards.,FALSE,FALSE,,creature,
176,Sylveon,2,1,1,,,"When a creature you control dies, place a counter on Sylveon.
Tap: You may expend as many counters on Sylveon as you'd like. For each counter spent this way tap a creature of your choice.",FALSE,FALSE,,creature,
177,Custom Creature,4,X,X,,,When played give CC whatever stats you'd like totaling six (example: 2 attack and 4 health). You may also name one keyword and give it to CC (Things like poison will always be at their lowest value). Choosing to add a keyword will reduce both of it's stats by one.,TRUE,FALSE,,creature,
178,Chimpanzee,1,1,1,,,"Reach.
Chimpanzee is immune to damage from flying creatures.",FALSE,FALSE,,creature,
179,Spamton,3,2,2,,,You may pay two hp to gain one mana.,TRUE,FALSE,,creature,
180,BonziBuddy,6,3,3,,,"When you would play or summon a creature, that creature is replaced by a copy of BonziBuddy.",TRUE,FALSE,,creature,
181,The Disk,3,,,,2," +2: Draw a card and shuffle a copy of The Worm (T10) into your deck.
-2: Shuffle two copies of The Worm into an opposing players deck.
-6: Choose an opponent, for each copy of The Worm in their hand they take 7 damage2: Draw a card and shuffle a copy of The Worm (T10) into your deck.",FALSE,FALSE,,ancient evil,
182,Cryptoland,3,,,,3," +1: Gain one mana. 
0: Flip a coin. If heads Cryptoland gains three power, if tails you lose two mana. This can cause Debt (T28)
-6: Gain six mana and draw four cards.",TRUE,TRUE,,ancient evil,
183,German 4Chan,3,,,,3," +1: Destroy a creature that costs 2 mana or less, or create a rat (T1)
-3: Create a Kanna (38) and attach a copy of Divine Treasure (T49) to it.
-5: Choose an opponent, skip their next turn.",FALSE,FALSE,,ancient evil,
184,(((Them))),5,,,,4," +2: Play or re-equip an attachment card for two less mana.
-3: Add a copy of Jew Gold (T11) to your hand.
-7: All creatures with attachments gain three strength and are immortal until the start of your next turn.",FALSE,FALSE,,ancient evil,
185,Project Raven,3,,,,1,"All creatures you control have vigilance.
+2: View the top card of a deck. You may shuffle the card into that deck or place it back on top.
-3: Choose an opponent. They must reveal their hand to you. Choose one of their cards and discard it.",FALSE,TRUE,,ancient evil,
186,Ted Kaczynski,3,,,,4,"When you draw a pipe bomb you may discard it before it explodes.
+4: Discard a spell. 
-2: Shuffle a Pipe Bomb into an opponent's deck.",FALSE,FALSE,,ancient evil,
187,Chris Chan,5,,,,3," +1: Give a creature Haste and Trample for one turn. 
-3: Draw cards until you have 5.
-5: Summon a copy of Your Mother (60) and attach a copy of The Medallion (T50) to it.",TRUE,TRUE,,ancient evil,
188,John Money,4,,,,2," +1: Give a creature Haste and Trample for one turn. 
-3: Draw cards until you have 5.
-5: Summon a copy of Your Mother (60) and attach a copy of The Medallion (T50) to it.",FALSE,FALSE,,ancient evil,
189,Cool Rock,6,,,,6,"As long as you control Cool Rock you cannot take damage or die. When cool rock is destroyed its owner takes five damage.
+1: Sacrifice a creature.
-10: Choose a player, they are killed immediately.",FALSE,FALSE,,ancient evil,
190,Kwik Trip,4,,,,3," +1: Create a copy of Kwik Trip Employee (T13) and attach it to a creature. 
-1: Lose two health and gain two mana.
-7: Untap all creatures with the Kwik Trip Employee attachment and gain control of them until the end of your turn.",FALSE,TRUE,,ancient evil,
191,Curse Dredger,2,2,1,,,When played give an Ancient Evil of your choice two power.,TRUE,TRUE,,creature,
192,Healslut,2,1,2,,,At the start of your turn gain one health.,FALSE,FALSE,,creature,
193,Crusader,3,3,3,,,"If at least one opponent controls an Ancient Evil and you do not, Crusader gains two strength.",FALSE,TRUE,,creature,
194,Church,1,1,2,,,"Deathtouch. Reach. Hunt.
During combat roll a d4. On any result other than a 4 Church misses, resulting in no damage being dealt and deathtouch not activating.",FALSE,FALSE,"Deathtouch, Reach, Hunt",creature,
195,2BDamned,3,2,3,,,"Tap, pay one mana cap: Search the discard pile for a creature, reveal it, and add it to your hand.",FALSE,TRUE,,creature,
196,The Master Sword,2,,,,,"Recyclable
If the intended target of this creatures attack is an ancient evil, this creature gains three strength for this combat.",TRUE,FALSE,Recyclable,attachment ,
197,Curbstomp,6,,,,,"Destroy an Ancient Evil, creature, or attachment.",FALSE,FALSE,,spell,
198,Harpie's Birdleg Fan,5,,,,,All creatures you control have flying until end of turn.,FALSE,FALSE,,spell,
199,All creatures you control have flying until end of turn.,5,,,,,"When played gain 2d4 plus 2 health.
This card may not bring you over twenty health.",FALSE,TRUE,,spell,
200,Environmental Activists,8,,,,,"This cards cost is decreased by one for each unequipped attachment you control.
Reduce a players mana cap by two.",TRUE,TRUE,,spell,
201,The Lost,3,1,1,,,"The first time The Lost would die prevent that death.
At the start of your turn the lost gains one strength.",FALSE,FALSE,,creature,
202,Cup a Joe,2,,,,,"Recyclable
This creature gains Vigilance.",FALSE,FALSE,Recyclable,attachment ,
203,Supply Drop,0,,,,,You may immediately play an attachment as though it had flash. It costs one less mana.,TRUE,TRUE,,spell,
204,Monster House,4,2,5,,,"Defensive.
Once per turn: You may move another creature into or out of Monster House. While inside the creature is immune to all spells, attacks, and abilities. When monster House is destroyed any creatures inside are forced out. ",FALSE,FALSE,Defensive,creature,
205,One Punch Man,15,999,999,,,,FALSE,TRUE,,creature,
206,Hank J. Wimbleton,3,X+1,X+1,,,"When played create a Vengeance token (T14).
Hank J. Wimbleton's Health and Strength are equal to the number of Vengeance tokens you control plus one.",FALSE,TRUE,,creature,
207,Panzer,2,5,5,,,"Panzer is tapped when played, and doesn't automatically untap on your turn.
Tap two other creatures you control: Untap Panzer.",FALSE,FALSE,,creature,`
